Counter-Strike 2	cs2.exe
osu!	osu!.exe
The Sims 3	TS3W.exe
Beat Saber	Beat Saber.exe
Control	Control.exe
Control	Control_DX11.exe
Control	Control_DX12.exe
Cyberpunk 2077	Cyberpunk2077.exe
FINAL FANTASY XIV Online	ffxiv_dx11.exe
FINAL FANTASY VI	FINAL FANTASY VI.exe
Grand Theft Auto: Vice City	gta-vc.exe
Grand Theft Auto: San Andreas	gta-sa.exe
Grand Theft Auto: San Andreas	gta_sa.exe
Persona 4 Golden	P4G.exe
Red Dead Redemption 2	RDR2.exe
The Sims 4	TS4_x64.exe
World of Warcraft	Wow.exe
Mirror's Edge	mirrorsedge.exe
The Last of Us™ Part I	tlou.exe
Call of Duty®	cod.exe

